Date,Site,Price
2021-06-10 21:20,Tcg Player Market,$�115.86
2021-06-11 07:23,Tcg Player Market,$ 115.86
2021-06-11 11:43,Tcg Player Market,$ 113.48
2021-06-11 15:54,Tcg Player Market,$ 113.48
2021-06-12 09:32,Tcg Player Market,$ 113.35
2021-06-12 10:56,Tcg Player Market,$ 113.35
2021-06-12 16:28,Tcg Player Market,$ 113.35
2021-06-12 19:49,Tcg Player Market,$ 113.35
2021-06-13 08:17,Tcg Player Market,$ 113.35
2021-06-13 12:06,Tcg Player Market,$ 113.27
2021-06-13 18:46,Tcg Player Market,$ 113.27
2021-06-14 09:00,Tcg Player Market,$ 113.84
2021-06-14 12:00,Tcg Player Market,$ 113.84
2021-06-14 15:00,Tcg Player Market,$ 113.84
2021-06-15 09:00,Tcg Player Market,$ 114.15
2021-06-15 12:00,Tcg Player Market,$ 114.15
2021-06-15 15:00,Tcg Player Market,$ 114.15
2021-06-15 18:00,Tcg Player Market,$ 114.15
2021-06-15 21:00,Tcg Player Market,$ 114.15
